Name,Linked Description,Days of the week,Short list
Le Petit chef dining experience,,,Yes
Suite 115 cocktail bar,,,Yes
Halloween store,,,Yes
Tnl pool hall China Town,,,Yes
Jean Darlene,Jazz,,Yes
Pioneer village Alone in the Dark,Spooky,,Yes
Dundas Ossington vintage shopping,,,Yes
Billiards The City Pool,,,No
Karaoke at Bathurst Local (Dundas),,,No
Painted Lady (Sat dance),,Saturday,No
Bata Shoe Museum,,,No
The pilot Jazz,Link,,No
Monarch Tavern Karaoke,Link,Thursday,No
Yoga classes,,,No
Rock Climbing,,,No
Persuit OCR,,,No
Hamilton Dundas Valley,,,No
Rivoli Pool + Events,Link,,No
Reservoir Lounge,Jazz,"Sunday, Thursday",No
Horseshoe Tavern,Link,Any,No
Bathurst local karaoke?,,,No
915 cafe Ossington & Dupont,Japanese Cafe,,No
Monarch Tavern,Link,Thursday,No
Weed comedy,Link,Thursday,No
Rex Jazz bar,,,No
Free times cafe,,,No
Bampot house of Tea. Karaoke + Dance,,,No
Poetry Jazz cafe,Queen ~ Dufferin bar,,No
Badminton at Trinity Community,,Sunday,No
Praise wine bar jazz,Bloor + Ossington,"Friday, Saturday",No
Reposado events,,,No
Badminton at trinity community,3-5pm,Sunday,No
Nigara Falls,,,No
Tilt reopen,,Any,No
Swimming at Trinity Community,Various lane swim every day,"Saturday, Sunday, Thursday",No
Stackt Market,,,No
Space bar on Queen,,,No
Ace hotel rooftop bar,,,No
Collective Concerts,General Music source,,No