Name,Tags,Author,Recommender,Status,Type,link
Aphex Twin Album,Music,,,Not started,,https://open.spotify.com/album/58H1ArDcd3bUzOK0cn31lD?si=ygZfPXKaQ0O3hQurtATgRg
Koan New Album,Music,,,Not started,,https://open.spotify.com/album/01L5M6QM1bhblyVaKDOSqF?si=Ol2cAgJ0SQuue6dRsDur_g
Flashbulb New Album,Music,,,Not started,,https://open.spotify.com/album/3cK8taLndvasnU9KiTG46E?si=4kNFyCkYTImMWNYDa-IjQw
Smilk,Music,,,Not started,,https://open.spotify.com/album/4TkoNDSNT5gpCzDCwwvYE6?si=DDey-PhGQoKTSkYzZZ3VXA
Sapiens: A Brief History of Humankind,AudioBook,Yuval Noah Harari,,In progress,Self Help,https://www.ynharari.com/book/sapiens-2/
Indistractable,AudioBook,,Johann Hari in Stolen Focus,Not started,Self Help,
House of leaves,AudioBook,,,Not started,Fiction,
Flow: Psychology of Optimal Experience,AudioBook,,,In progress,Self Help,
Obduction VR,Game,,,Not started,,
Half-Life: Alyx VR,Game,,,Not started,,
The Room VR,Game,,,Not started,,
Psychonauts Rhombus of Ruin VR,Game,,,Not started,,
Start Minecraft Server,Game,,,Not started,,
Outer Wilds Eye DLC,Game,,,Not started,,
Wheel of Time,AudioBook,,,Not started,,
Paper menagerie,Book,,,Not started,,
Mercy of Gods (Next Expanse),AudioBook,,,Not started,,
Tomorrow and Tomorrow and Tomorrow,AudioBook,,Michelle,Not started,,
3 Body problem book 3,AudioBook,,,Not started,,
Brand New Cherry Flavor,TV.Movie,,,Not started,,
Zelda,Game,,,Not started,,
Futurama,TV.Movie,,,Not started,,
Dune 2,TV.Movie,,,Not started,,
House of the Dragon,TV.Movie,,,Not started,,
"Plucky Squire 17 Sep, 2024",Game,,,Not started,,
Black sails,TV.Movie,,,Not started,,
Drive movie,TV.Movie,,,Not started,,