Name,link
"Sound Machine ",https://ra.co/clubs/229380
Secret Society EDM,https://www.instagram.com/secretsocietyto/
Vertigo Church + Gerrard After Hours,https://www.torontoclubs.com/venues/vertigo-toronto
The Piston,https://www.thepiston.ca/events
Supermarket,https://www.supermarketto.ca/events
Am/pm,https://www.instagram.com/ampm_toronto/?hl=en
Boogie on Queen,https://www.instagram.com/boogieonqueen/?next=%2F_animee_baz%2Ftagged%2F
3030 junction,https://www.3030dundaswest.com/events-1?view=calendar&month=12-2023
Baby Huey,https://www.instagram.com/babyhuey_to/?hl=en
Drom Taberna,https://www.dromtaberna.com/events-9O8Cm
Dakota Tavern,https://www.dakotatavern.ca/
Danu Events. Music? Variety,https://www.danusocialhouse.ca/events
Woody's gay bar,
Blues dance,https://fb.me/e/1rl926MHd
Coda,
Standard Time,
"bibliotheque ",