Name,link,Days of the week,Tags,Short list
"Sound Machine ",https://ra.co/clubs/229380,,,No
Secret Society EDM,https://www.instagram.com/secretsocietyto/,Wednesday,,Yes
Vertigo Church + Gerrard After Hours,https://www.torontoclubs.com/venues/vertigo-toronto,"Friday, Saturday",,No
The Piston,https://www.thepiston.ca/events,"Friday, Saturday, Thursday",,No
Supermarket,https://www.supermarketto.ca/events,,,No
Am/pm,https://www.instagram.com/ampm_toronto/?hl=en,"Friday, Saturday, Sunday",,No
Boogie on Queen,https://www.instagram.com/boogieonqueen/?next=%2F_animee_baz%2Ftagged%2F,Wednesday,,No
3030 junction,https://www.3030dundaswest.com/events-1?view=calendar&month=12-2023,"Friday, Saturday, Thursday, Wednesday",,No
Baby Huey,https://www.instagram.com/babyhuey_to/?hl=en,,,No
Drom Taberna,https://www.dromtaberna.com/events-9O8Cm,"Any, Thursday, Tuesday",,No
Dakota Tavern,https://www.dakotatavern.ca/,Any,,No
Danu Events. Music? Variety,https://www.danusocialhouse.ca/events,,,No
Woody's gay bar,,,,No
Blues dance,https://fb.me/e/1rl926MHd,Sunday,,No
Coda,,,,No
Standard Time,,,,No
"bibliotheque ",,,,No