Name,Description,Short list,link,Area,Happy hour
The swan French diner,,Yes,,Queen West,
La palette,,Yes,https://maps.app.goo.gl/dLXqypda3NEjxqSbA?g_st=com.google.maps.preview.copy,Queen West,
Midori ramen,,Yes,,Queen West,
Carolina pizza,,Yes,,Home,
Mogouya Hand pulled noodles on Queen,,Yes,,Queen West,
Bar vendetta Italian,,Yes,,Home,
Eataly,,Yes,,Yorkville,
Brunch at old Mill,Special event brunch,No,https://www.oldmilltoronto.com/buffet/,,
Collective Arts (Dunas + Bathurst),,No,https://collectiveartsontario.com/pages/toronto-taproom,,
Bottega Volo,Not sure!,No,,,
Copa cabana,,No,,,
Kingyo Fisherman's Market,,No,,Cabbagetown,
Sue Fung dim sum,,No,,Chinatown,
Little Sister brunch,,No,,Home,
Raku,,No,,Queen West,
Barkat Indian on Queen,,Yes,,Home,
Rosewood,,No,,Chinatown,
Kintaro Izakaya,,No,,Church St,
Lao Lao bar,Thai,No,,Church St,
Mekan Queen st,,No,https://www.instagram.com/mekantoronto/?hl=en,Home,
Santa Marta Bar y Tapas,,No,,Home,
Lasagne restaurant,,No,,,
Duff's famous wings,,No,,,
Odd Seoul bar Ossington,Korean Fusion,No,,,
DZO Viet beside village genius,,No,https://maps.app.goo.gl/CCUCBC1M3E7g4fv66?g_st=ic,Chinatown,After 9pm
Old York Bar on Wellingon + Niagara,,No,,Home,
Sushi Momo,,Yes,,Queen West,
Saku,Happy hour after 9pm,No,,Queen West,
Musoshin Ronces ramen,Ramen karage,No,,Roncesvalles,
Cafe landwer,Mediterranean brunch,No,,Downtown,
Henry's Queen dinner date,,No,,,
La bartola college,Mexican sit down,No,https://www.labartola.ca/menu,,
Koh Lipe Thai Kitchen,,No,,,
Pai,,No,,Downtown,
"Chadon beni ",Queen and Shaw jerk sit down,No,,Queen West,
Le select French restaurant,,No,,,
Hokkaido Ramen Santouka,Ramen,No,http://www.santouka-canada.com/,,
Antler,Upscale Steak,No,https://maps.app.goo.gl/U1LnD6N8rmUjgACS7,Dundas West,